Name	X	Y	Source	Mg	Al	Si	P	S	Cl	K	Ca	Ti	Cr	Mn	Fe	Co	Ni	Cu	Zn	As	Sr	Ba	Pb	Hg	Tl	Rb	Ga	Zr	Bi	Na	W	Nd	Pr	Sc	V	Au	Se	Ge	sluda	smektit	hlorit	kaolinit	ceolit	kvarc	kps	plagioklaz	rogovaa_obmanka	gips
2001	42,48651	43,22803	NV_left_slope	4,104	60,854	357,22		0,23		54,93	1,33	3,71		0,823	11,33			0,257	0,44	0,35	0,21	1,62	1,34	1,48	1,91														32	7	4	0	0	42	0	15	0	0
2002	42,484621	43,227589	NV_left_slope	0,05	198,015	267,74				121,98	7,98	23,302	1,14	3,39	369,84		0,15	0,54	0,765		0,275	5,1				3,23	0,695	5,91											46	0	7	9	0	21	4	13	0	0
2003	42,482532	43,228736	NV_left_slope	1,07	75,09	162,34	2,55	5,23	1,28	52,64	26,67	10,87	0,28	2,95	111,05	0,195			0,79		1,31	3,65													0,12				36	4	3	0	0	48	2	7	0	0
2004	42,480812	43,229299	NV_left_slope	0,95	54,64	330	0,8	1,22	0,51	42,99	7,28	6,26		1,47	82,4	0,085	0,23	0,47	1,64		0,65	1,79				0,95			0,945										11	1	2	0	0	64	8	14	0	0
2005	42,480762	43,229127	NV_left_slope	3,26	15,89	386,53				5,92	0,42	0,47		0,166	5,37	0,28		0,1	8,80E-02	0,418	0,32	0,254	0,57			0,38													12	0	1	0	0	58	13	16	0	0
2006	42,479376	43,22976	NV_left_slope	0,24	138,05	228				54,33	3,45	3,12		6,14	423,4			1,375	2,91		0,82	1,835				0,328													18	0	2	0	1	51	14	14	0	0
2007	42,477305	43,230735	NV_left_slope	4,62	65,48	263,34		1,07		14,39	9,23	0,097	0,043	0,05	3,5	0,11	0,22	0,36	0,25	0,052	0,61	0,54	0,3							2,21	0,963								10	0	1	0	0	56	13	20	0	0
2008	42,476786	43,23161	NV_left_slope	14,27	104,97	270			1,15	53,05	7,69	6,14	0,67	2,12	84,26	1,68	0,36	0,97	0,93	0,11	0,62	4,164	0,998																10	5	4	0	0	56	10	15	0	0
2009	42,474755	43,23211	NV_left_slope	0,083	181,98	246,82				121,44	0,89	6,12	0,435	0,84	67,7	0,14	0,198	0,045	0,242		0,533	3,8																	51	1	3	7	0	30	2	6	0	0
2010	42,470527	43,233797	NV_moraine	1,26	57,63	347,83				32,7	0,645	0,689		0,71	7,38	0,62	0,106	0,145	1,87	0,278	0,5	0,311	0,226												0,203				9	0	1	0	0	57	16	17	0	0
2011	42,47731	43,229893	NV_right_slope	0,37	111,09	268,62				75,54	6,97	7,099	0,62	1,37	92,25			0,53	0,82		0,76	3,25																	24	7	7	0	0	34	7	21	0	0
2012	42,478301	43,22978	NV_moraine	0,125	62,68	213,7		0,5	0,96	51,31	4,7	2,74	0,075	0,635	41,65	0,73	0,135	0,25	0,382	0,263	0,62	1,67	1,04			0,7	0,505			0,86									16	5	2	0	0	53	11	13	0	0
2013	42,479828	43,229155	NV_right_slope	0,26	74,105	300	0,4	0,9	1,075	24,22	3,21	0,573	0,082	0,5	11,6	0,67	0,176	0,25	0,22		0,52	0,91				0,54						2,63							10	1	2	0	0	60	11	16	0	0
2014	42,482537	43,228182	NV_right_slope	0,23	102,15	277,78				184,33	4,62	4,82	0,55	1,84	51,52			0,33	1,03		0,67	4,15				1,07													29	4	4	3	0	34	6	20	0	0
2015	42,48510531	43,22729926	NV_moraine	0,05	11,28	155				5,65	0,58	0,34		0,122	4,75	0,454	0,118	0,163	0,174		0,56	0,17							0,68										4	0	1	0	0	70	9	16	0	0
2016	42,485509	43,226532	NV_right_slope	1,02	44,84	130	2,65	2,43	1,16	19,28	8,6	4,67	0,128	1,52	60,4				0,95		0,775	0,834																	12	5	3	0	0	47	3	30	0	0
2017	42,480339	43,229045	NV_moraine	20,54	129,5	364,9		0,47	0,96	89,9	7,72	12,44		1,71	110,15	1,08		0,55	0,45		1,05	3,81							1,624										15	2	3	0	0	52	10	18	0	0
2018	42,479266	43,229581	NV_moraine	1,03	46,91	209,4				20,68	1,26	1,05		0,85	12,41	0,47		0,17	0,5	0,023	1,34	0,18	1,25	1,52		0,44		1,37						1,95					11	2	2	0	0	57	11	17	0	0
2019	42,487691	43,218566	ST	0,87	43,4	259			2,47	47,34	3,45	0,94		0,85	21,2	0,533	0,32		0,21		0,74	1,99											2,23	0,62					10	0	2	0	0	53	11	24	0	0
